,store_name,street_address,borough,zip_code,bbl,latitude,longitude
133,J&W Food Center,990,Bronx,10455,2026840076.0,40.814565,-73.899875
134,Los Hermanos Meat & Grocery,501B,Bronx,10455,2025570078.0,40.812032,-73.909517
135,Luis & Angie Deli Grocery,976,Bronx,10459,2026900119.0,40.823225,-73.900133
136,Paulino Deli Grocery,798,Bronx,10474,2027630190.0,40.816473,-73.887795
137,REAL Supermarket,818,Bronx,10459,2026760049.0,40.819173,-73.902571
138,Salgados Superette,1131,Bronx,10459,2027440063.0,40.82643,-73.890307
139,South Side Food,726,Bronx,10455,2026430013.0,40.816005,-73.907976
140,Super Deli Grocery Store,740,Bronx,10455,2025790025.0,40.813082,-73.908389
141,Top Quality,1019,Bronx,10459,,,
142,Torres Meat & Grocery,950,Bronx,10459,2027080040.0,40.817614,-73.898415
143,Union Foods,835,Bronx,10455,2026750001.0,40.815242,-73.904242
144,VR Vegetable N Grocery,928,Bronx,10459,,,
145,3368 Cypress Deli & Grocery,3368,Brooklyn,11208,3041470039.0,40.683854,-73.871439
146,Apple Deli and Grill,1203,Brooklyn,11208,3042480001.0,40.672551,-73.873509
147,Bangla Supermarket,1211,Brooklyn,11208,3041840065.0,40.678988,-73.864858
148,Claribel Deli & Grocery,241,Brooklyn,11208,3039160030.0,40.683696,-73.87966
149,Dari's Grocery,224,Brooklyn,11208,3041330054.0,40.684755,-73.869599
150,Decayagua Deli Grocery,290,Brooklyn,11208,3039420001.0,40.680961,-73.883826
151,Dumont Deli & Grocery,690,Brooklyn,11208,3040660039.0,40.668497,-73.88122
152,Four Star Supermarket,1075,Brooklyn,11208,3041710029.0,40.678354,-73.869546
153,Fulton Gourmet Deli and Grill,3336,Brooklyn,11208,3041460037.0,40.683548,-73.872518
154,J and J Grocery,1055,Brooklyn,11208,3040530001.0,40.670136,-73.879335
155,J R Grocery,944,Brooklyn,11208,3043390010.0,40.665825,-73.877941
156,J.T. Deli Grocery,1145,Brooklyn,11208,3042030001.0,40.677497,-73.866563
157,Los Chamona Deli Grocery,576,Brooklyn,11208,3041360023.0,40.686622,-73.867839
158,Luna Grocery,1082,Brooklyn,11208,,40.667838,-73.873244
159,MACO Food Corp.,1018,Brooklyn,11208,3042500021.0,40.674146,-73.871458
160,Melendez Deli Grocery,145,Brooklyn,11208,3041170001.0,40.685225,-73.874621
161,Mike's Grocery Corp.,1268,Brooklyn,11208,3042660021.0,40.672872,-73.871161
162,My Neighborhood Grocery,385,Brooklyn,11208,3041930012.0,40.677517,-73.873983
163,New Way Grocery,145,Brooklyn,11208,3039110059.0,40.68303,-73.883368
164,Reyes & G Mini Market,120,Brooklyn,11208,3041200057.0,40.687414,-73.871065
165,Sutter Grocery,978,Brooklyn,11208,3040500017.0,40.671237,-73.882578
166,1879 Deli Carter Corp,1879,Bronx,10457,2028920039.0,40.847345,-73.901904
167,Anthony's Place Deli Grocery,306,Bronx,10457,2028140029.0,40.849999,-73.902497
168,Aurora Deli Grocery,150,Bronx,10457,2028240051.0,40.844842,-73.909679
169,C & T Deli Grocery,2275,Bronx,10457,2030380027.0,40.855028,-73.893336
170,Concourse Food Plaza,2096,Bronx,10457,2031560102.0,40.854042,-73.902295
171,C-Town,229,Bronx,10457,2028090051.0,40.848997,-73.904772
172,C-Town,309,Bronx,10457,2031490068.0,40.850588,-73.901133
173,Deli Grocery,2236,Bronx,10457,2031580001.0,40.856256,-73.90064
174,El Abanico Deli Grocery Corp.,214,Bronx,10457,2031560018.0,40.853232,-73.901971
175,Fresh Food Deli Grocery,2179,Bronx,10457,2030370077.0,40.853505,-73.89442
176,J.J.N. Corp Deli Grocery,1512,Bronx,10457,2029120001.0,40.837956,-73.90315
177,Jade Food Center,3822,Bronx,10457,2029280012.0,40.837875,-73.901412
178,Los Primos Grocery,1965,Bronx,10457,2031420094.0,40.849462,-73.899949
179,Los Primos Grocery,1798,Bronx,10457,2029480001.0,40.842792,-73.893526
180,Mills Grocery,1570,Bronx,10457,2029190001.0,40.838762,-73.901563
181,Naranjal Grocery,200,Bronx,10457,2028040005.0,40.84911,-73.905415
