,building_id,borough,street_name,house_number,project_id,latitude,longitude
2288,965967.0,Brooklyn,DEAN STREET,2178,58555,40.674988,-73.91545
2289,969934.0,Brooklyn,MOTHER GASTON BOULEVARD,281,58555,40.672443,-73.907565
2290,974490.0,Brooklyn,CHRISTOPHER AVENUE,38,58555,40.673055,-73.906728
2291,974491.0,Brooklyn,SNEDIKER AVENUE,666,58555,40.658577,-73.898246
2292,974492.0,Brooklyn,SNEDIKER AVENUE,668,58555,40.658544,-73.898235
2293,242056.0,Brooklyn,STRATFORD ROAD,15,60248,40.648361,-73.96956
2294,978847.0,Brooklyn,RALPH AVENUE,343,64186,40.677438,-73.921763
2295,,Queens,----,----,67271,,
2296,973169.0,Manhattan,WEST 161 STREET,577,67307,40.836168,-73.942103
2297,5610.0,Manhattan,AMSTERDAM AVENUE,1646,60041,40.822975,-73.949268
2298,983224.0,Brooklyn,CORTELYOU ROAD,1921,63036,40.642981,-73.960532
2299,827727.0,Bronx,EAST 162 STREET,870,65578,40.821326,-73.900006
2300,,Queens,----,----,67397,,
2301,,Queens,----,----,67419,,
2302,978833.0,Brooklyn,MYRTLE AVENUE,948,63899,40.695981,-73.943887
2303,982670.0,Queens,DEPOT ROAD,168-05,67308,40.761491,-73.798
2304,52029.0,Bronx,BRONX PARK EAST,3000,62209,40.856665,-73.875798
2305,703839.0,Queens,WEXFORD TERRACE,177-30,67309,40.713102,-73.785983
2306,37267.0,Manhattan,WEST 97 STREET,305,65210,40.796049,-73.972978
2307,,Brooklyn,----,----,67275,,
2308,120827.0,Bronx,WEEKS AVENUE,1779,67310,40.846249,-73.907447
2309,300675.0,Brooklyn,GLENMORE AVENUE,1097,66558,40.677233,-73.868409
2310,303789.0,Brooklyn,GREENE AVENUE,1164,67311,40.694599,-73.922897
2311,,Queens,----,----,67272,,
2312,980696.0,Brooklyn,FULTON STREET,1068,67312,40.68164,-73.958137
2313,,Queens,----,----,67401,,
2314,983973.0,Bronx,RYER AVENUE,2051,65205,40.85179,-73.901214
2315,,Queens,----,----,67273,,
2316,,Queens,----,----,67368,,
2317,983111.0,Bronx,UNIVERSITY AVENUE,1072,67313,40.835124,-73.929994
2318,927586.0,Brooklyn,CLEVELAND STREET,617,44340,40.669188,-73.883068
2319,927678.0,Brooklyn,HINSDALE STREET,291,44340,40.667974,-73.89967
2320,965968.0,Brooklyn,HINSDALE STREET,289,44340,40.668009,-73.899681
2321,965970.0,Brooklyn,HINSDALE STREET,285,44340,40.668083,-73.899698
2322,969937.0,Brooklyn,LINWOOD STREET,586,44340,40.670822,-73.881818
2323,969938.0,Brooklyn,LINWOOD STREET,669,44340,40.66887,-73.881295
2324,969939.0,Brooklyn,BLAKE AVENUE,806,44340,40.668721,-73.8888
2325,969940.0,Brooklyn,DUMONT AVENUE,980,44340,40.668078,-73.882374
2326,969941.0,Brooklyn,HINSDALE STREET,287,44340,40.668048,-73.899691
2327,969942.0,Brooklyn,BLAKE AVENUE,846,44340,40.668956,-73.887225
2328,969943.0,Brooklyn,WARWICK STREET,588,44340,40.668821,-73.884687
2329,969960.0,Brooklyn,BLAKE AVENUE,848,44340,40.668964,-73.887167
2330,969961.0,Brooklyn,WARWICK STREET,586,44340,40.668865,-73.884698
2331,979971.0,Bronx,MAPES AVENUE,2118,67314,40.847077,-73.885134
2332,2071.0,Manhattan,3 AVENUE,2183,67315,40.79998,-73.938508
2333,979947.0,Brooklyn,STERLING PLACE,1611,67316,40.671174,-73.92526
