,prevailing_wage_status,low_income_units,middle_income_units,moderate_income_units,extremely_low_income_units,very_low_income_units,project_id
162,Non Prevailing Wage,1,0,0,0,0,71102
163,Non Prevailing Wage,0,5,0,0,0,71125
164,Non Prevailing Wage,0,2,0,0,0,71127
165,Non Prevailing Wage,1,0,0,0,0,71173
166,Non Prevailing Wage,0,0,2,147,2,70076
167,Non Prevailing Wage,24,0,0,0,0,70470
168,Non Prevailing Wage,41,0,0,1,251,70652
169,Non Prevailing Wage,27,0,0,1,265,70652
170,Non Prevailing Wage,35,0,0,0,258,70652
171,Non Prevailing Wage,28,0,0,1,264,70652
172,Non Prevailing Wage,39,0,0,1,253,70652
173,Non Prevailing Wage,26,0,0,2,265,70652
174,Non Prevailing Wage,32,0,0,0,261,70652
175,Non Prevailing Wage,34,0,0,0,259,70652
176,Non Prevailing Wage,33,0,0,2,258,70652
177,Non Prevailing Wage,29,0,0,0,264,70652
178,Non Prevailing Wage,34,0,0,0,259,70652
179,Non Prevailing Wage,25,0,0,0,268,70652
180,Non Prevailing Wage,33,0,0,1,259,70652
181,Non Prevailing Wage,33,0,0,2,258,70652
182,Non Prevailing Wage,31,0,0,1,261,70652
183,Non Prevailing Wage,27,0,0,0,266,70652
184,Non Prevailing Wage,39,0,0,0,254,70652
185,Non Prevailing Wage,29,0,0,1,263,70652
186,Non Prevailing Wage,30,0,0,0,263,70652
187,Non Prevailing Wage,29,0,0,0,264,70652
188,Non Prevailing Wage,25,0,0,0,19,70658
189,Non Prevailing Wage,13,0,0,0,0,70815
190,Non Prevailing Wage,0,13,0,0,0,71122
191,Non Prevailing Wage,0,12,0,0,0,71123
192,Non Prevailing Wage,200,0,0,101,101,62193
193,Non Prevailing Wage,31,0,0,33,0,69140
194,Non Prevailing Wage,24,0,0,25,0,69140
195,Non Prevailing Wage,45,0,0,0,0,70293
196,Non Prevailing Wage,16,0,0,0,0,70384
197,Non Prevailing Wage,27,0,0,0,0,70444
198,Non Prevailing Wage,10,0,0,0,0,70800
199,Non Prevailing Wage,0,14,0,0,0,71117
200,Non Prevailing Wage,0,3,0,0,0,71120
201,Non Prevailing Wage,49,0,0,42,24,63774
202,Non Prevailing Wage,69,0,139,88,51,63974
203,Prevailing Wage,0,0,0,204,0,67898
204,Non Prevailing Wage,111,0,71,123,68,69591
205,Non Prevailing Wage,86,0,0,0,0,70793
206,Non Prevailing Wage,44,0,0,0,0,69285
207,Non Prevailing Wage,1,0,0,0,0,71071
208,Non Prevailing Wage,1,0,0,0,0,71075
209,Non Prevailing Wage,9,0,0,43,5,68572
210,Non Prevailing Wage,27,0,0,0,0,70633
211,Non Prevailing Wage,32,0,0,0,0,70796
212,Non Prevailing Wage,1,0,0,0,0,71051
213,Non Prevailing Wage,1,0,0,0,0,71052
214,Non Prevailing Wage,4,0,0,0,8,70188
215,Non Prevailing Wage,2,0,0,2,8,70188
216,Non Prevailing Wage,2,0,0,0,9,70188
217,Non Prevailing Wage,5,0,1,2,9,70188
218,Non Prevailing Wage,4,0,0,0,7,70188
219,Non Prevailing Wage,8,0,0,2,11,70188
220,Non Prevailing Wage,24,0,0,0,0,70607
221,Non Prevailing Wage,0,2,0,0,0,71115
222,Non Prevailing Wage,0,0,2,0,0,67592
223,Non Prevailing Wage,0,0,3,0,0,67592
224,Non Prevailing Wage,2,0,0,0,0,67592
225,Non Prevailing Wage,0,0,2,0,0,67592
226,Non Prevailing Wage,0,0,3,0,0,67592
227,Non Prevailing Wage,0,0,3,0,0,67592
228,Non Prevailing Wage,0,0,2,0,0,67592
229,Non Prevailing Wage,0,0,1,0,0,67592
230,Non Prevailing Wage,0,0,2,0,0,67592
231,Non Prevailing Wage,1,0,0,0,0,67592
232,Non Prevailing Wage,1,0,0,0,0,67592
233,Non Prevailing Wage,1,0,0,0,0,67592
234,Non Prevailing Wage,1,0,0,0,0,67592
235,Non Prevailing Wage,1,0,0,0,0,67592
236,Non Prevailing Wage,1,0,0,0,0,67592
237,Non Prevailing Wage,1,0,0,0,0,67592
238,Non Prevailing Wage,1,0,0,0,0,67592
239,Non Prevailing Wage,1,0,0,0,0,67592
240,Non Prevailing Wage,1,0,0,0,0,67592
241,Non Prevailing Wage,9,0,0,0,0,70150
242,Non Prevailing Wage,23,0,0,0,0,69221
243,Non Prevailing Wage,0,0,1,0,0,71070
244,Non Prevailing Wage,0,7,0,0,0,71111
245,Non Prevailing Wage,0,3,0,0,0,71113
246,Non Prevailing Wage,0,3,0,0,0,71113
247,Non Prevailing Wage,25,0,0,0,0,69119
248,Non Prevailing Wage,0,14,0,0,0,71110
249,Non Prevailing Wage,0,0,0,0,1,71073
250,Non Prevailing Wage,1,0,0,0,0,69687
251,Non Prevailing Wage,1,0,0,0,0,71061
252,Non Prevailing Wage,4,0,0,0,0,71068
253,Non Prevailing Wage,0,7,0,0,0,71108
254,Non Prevailing Wage,4,0,0,0,0,69851
255,Non Prevailing Wage,0,2,0,0,0,71106
256,Non Prevailing Wage,0,6,0,0,0,71107
257,Non Prevailing Wage,24,0,0,0,0,69331
258,Non Prevailing Wage,23,0,0,24,0,68831
259,Non Prevailing Wage,16,0,0,18,0,68831
260,Non Prevailing Wage,0,42,0,0,0,71104
261,Non Prevailing Wage,54,0,0,0,0,69116
262,Non Prevailing Wage,5,0,0,0,0,69117
