,prevailing_wage_status,low_income_units,middle_income_units,moderate_income_units,extremely_low_income_units,very_low_income_units,project_id
1216,Non Prevailing Wage,3,0,0,0,0,69069
1217,Non Prevailing Wage,0,0,0,0,1,68914
1218,Non Prevailing Wage,0,1,0,0,0,69068
1219,Non Prevailing Wage,0,4,0,0,0,69068
1220,Non Prevailing Wage,0,9,0,0,0,69067
1221,Non Prevailing Wage,0,0,0,2,0,68837
1222,Non Prevailing Wage,1,0,0,0,0,68850
1223,Non Prevailing Wage,0,4,0,0,0,69065
1224,Non Prevailing Wage,0,9,0,0,0,69066
1225,Non Prevailing Wage,24,0,0,0,55,68172
1226,Non Prevailing Wage,0,3,0,0,0,69064
1227,Non Prevailing Wage,0,3,0,0,0,69062
1228,Non Prevailing Wage,0,3,0,0,0,69063
1229,Non Prevailing Wage,20,0,0,66,21,67522
1230,Non Prevailing Wage,0,3,0,0,0,69061
1231,Non Prevailing Wage,1,0,0,0,0,68849
1232,Non Prevailing Wage,0,0,2,0,0,69060
1233,Non Prevailing Wage,3,0,3,15,2,67891
1234,Non Prevailing Wage,3,0,0,29,9,67891
1235,Non Prevailing Wage,1,0,1,7,0,67891
1236,Non Prevailing Wage,1,0,0,2,1,67891
1237,Non Prevailing Wage,3,0,2,14,5,67891
1238,Non Prevailing Wage,3,0,2,14,9,67891
1239,Non Prevailing Wage,0,1,0,15,4,67891
1240,Non Prevailing Wage,0,0,3,23,5,67891
1241,Non Prevailing Wage,4,1,1,31,7,67891
1242,Non Prevailing Wage,1,0,0,0,0,68824
1243,Non Prevailing Wage,1,0,0,0,0,68844
1244,Non Prevailing Wage,0,3,0,0,0,69058
1245,Non Prevailing Wage,0,3,0,0,0,69059
1246,Non Prevailing Wage,0,3,0,0,0,69056
1247,Non Prevailing Wage,0,3,0,0,0,69057
1248,Non Prevailing Wage,0,2,0,0,0,69054
1249,Non Prevailing Wage,0,2,0,0,0,69055
1250,Non Prevailing Wage,0,7,0,0,0,69053
1251,Non Prevailing Wage,0,3,0,0,0,69051
1252,Non Prevailing Wage,0,8,0,0,0,69052
1253,Non Prevailing Wage,0,18,0,0,0,69050
1254,Non Prevailing Wage,1,0,0,0,0,68843
1255,Non Prevailing Wage,0,4,0,0,0,69049
1256,Non Prevailing Wage,0,4,0,0,0,69047
1257,Non Prevailing Wage,0,3,0,0,0,69048
1258,Non Prevailing Wage,0,0,20,0,0,61587
1259,Non Prevailing Wage,0,10,0,0,0,69045
1260,Non Prevailing Wage,0,8,0,0,0,69046
1261,Non Prevailing Wage,0,0,0,74,352,61875
1262,Non Prevailing Wage,0,0,0,66,310,61875
1263,Non Prevailing Wage,0,0,0,68,327,61875
1264,Non Prevailing Wage,0,0,0,69,326,61875
1265,Non Prevailing Wage,124,0,0,75,0,62299
1266,Non Prevailing Wage,12,0,0,0,3,65349
1267,Non Prevailing Wage,5,0,0,0,10,65349
1268,Non Prevailing Wage,2,0,0,0,13,65378
1269,Non Prevailing Wage,3,0,0,4,6,65378
1270,Non Prevailing Wage,2,0,0,3,11,65378
1271,Non Prevailing Wage,1,0,0,1,8,65378
1272,Non Prevailing Wage,1,0,0,6,2,65378
1273,Non Prevailing Wage,3,0,0,3,10,65378
1274,Non Prevailing Wage,5,0,0,0,14,65378
1275,Non Prevailing Wage,2,0,0,1,7,65378
1276,Non Prevailing Wage,1,0,0,0,9,65378
1277,Non Prevailing Wage,0,0,0,1,9,65378
1278,Non Prevailing Wage,2,0,0,1,7,65378
1279,Non Prevailing Wage,1,0,0,5,4,65378
1280,Non Prevailing Wage,1,0,0,0,9,65378
1281,Non Prevailing Wage,2,0,0,0,8,65378
1282,Non Prevailing Wage,0,0,0,0,9,65378
1283,Non Prevailing Wage,0,0,0,2,16,65378
1284,Non Prevailing Wage,9,0,7,0,2,66563
1285,Non Prevailing Wage,0,0,0,50,19,67129
1286,Non Prevailing Wage,0,0,0,63,0,67287
1287,Non Prevailing Wage,31,0,0,10,3,67398
1288,Non Prevailing Wage,39,0,0,0,9,67576
1289,Non Prevailing Wage,13,0,0,1,6,67619
1290,Non Prevailing Wage,15,0,0,0,6,67619
1291,Non Prevailing Wage,3,0,15,0,6,67699
1292,Non Prevailing Wage,10,0,9,0,5,67699
1293,Non Prevailing Wage,2,0,18,0,3,67699
1294,Non Prevailing Wage,0,0,0,0,28,67705
1295,Non Prevailing Wage,3,0,0,1,20,67705
1296,Non Prevailing Wage,0,0,0,4,14,67705
1297,Non Prevailing Wage,3,12,0,0,0,68076
1298,Non Prevailing Wage,2,27,3,239,6,68177
1299,Non Prevailing Wage,2,0,0,157,8,68189
1300,Non Prevailing Wage,0,11,0,0,0,68663
1301,Non Prevailing Wage,0,7,0,0,0,68664
1302,Non Prevailing Wage,0,0,3,0,0,68692
1303,Non Prevailing Wage,0,0,2,0,0,68697
1304,Non Prevailing Wage,2,0,0,0,0,68701
1305,Non Prevailing Wage,0,0,0,0,2,68702
1306,Non Prevailing Wage,2,0,0,0,0,68705
1307,Non Prevailing Wage,0,0,1,0,0,68707
1308,Non Prevailing Wage,3,0,0,0,0,68713
1309,Non Prevailing Wage,110,0,0,36,36,63151
1310,Non Prevailing Wage,86,0,52,83,54,64027
1311,Non Prevailing Wage,22,0,20,25,18,64027
1312,Non Prevailing Wage,136,0,0,62,51,64406
1313,Non Prevailing Wage,10,0,1,174,23,65392
1314,Non Prevailing Wage,7,1,1,69,14,65392
1315,Non Prevailing Wage,15,1,4,157,30,65392
1316,Non Prevailing Wage,3,0,1,120,24,65392
1317,Non Prevailing Wage,64,0,0,30,24,66644
1318,Non Prevailing Wage,2,0,0,0,3,66670
1319,Non Prevailing Wage,6,0,0,0,9,66670
1320,Non Prevailing Wage,5,0,0,1,10,66670
1321,Non Prevailing Wage,3,0,0,1,5,66670
1322,Non Prevailing Wage,2,0,0,0,4,66670
1323,Non Prevailing Wage,0,0,0,2,2,66670
1324,Non Prevailing Wage,4,0,0,0,2,66670
1325,Non Prevailing Wage,2,0,0,0,2,66670
1326,Non Prevailing Wage,1,0,0,0,3,66670
1327,Non Prevailing Wage,0,0,0,1,5,66670
1328,Non Prevailing Wage,0,0,0,2,4,66670
1329,Non Prevailing Wage,1,0,0,2,1,66670
1330,Non Prevailing Wage,0,0,0,1,3,66670
1331,Non Prevailing Wage,0,0,0,1,3,66670
1332,Non Prevailing Wage,16,0,0,0,19,66670
1333,Non Prevailing Wage,4,0,0,1,3,66670
1334,Non Prevailing Wage,5,0,1,5,4,66670
1335,Non Prevailing Wage,0,0,0,0,9,66670
1336,Non Prevailing Wage,1,0,0,2,0,66670
1337,Non Prevailing Wage,1,0,0,1,4,66670
1338,Non Prevailing Wage,1,0,0,0,3,66670
1339,Non Prevailing Wage,1,0,0,1,1,66670
1340,Non Prevailing Wage,0,0,0,0,4,66670
1341,Non Prevailing Wage,1,0,0,0,2,66670
1342,Non Prevailing Wage,0,0,0,1,3,66670
1343,Non Prevailing Wage,7,0,0,0,4,66670
1344,Non Prevailing Wage,4,0,1,2,1,66670
1345,Non Prevailing Wage,1,0,0,0,2,66670
1346,Non Prevailing Wage,2,0,0,0,2,66670
1347,Non Prevailing Wage,7,0,0,0,7,66670
1348,Non Prevailing Wage,2,0,0,1,1,66670
1349,Non Prevailing Wage,1,0,0,0,5,66670
1350,Non Prevailing Wage,1,0,0,3,2,66670
1351,Non Prevailing Wage,1,0,0,1,3,66670
1352,Non Prevailing Wage,0,0,0,0,3,66670
1353,Non Prevailing Wage,0,0,0,1,3,66670
1354,Non Prevailing Wage,0,0,0,0,4,66670
1355,Non Prevailing Wage,1,0,1,1,1,66670
1356,Non Prevailing Wage,3,0,0,0,6,66670
1357,Non Prevailing Wage,1,0,0,0,5,66670
1358,Non Prevailing Wage,7,0,0,0,1,66670
1359,Non Prevailing Wage,1,0,0,1,2,66670
1360,Non Prevailing Wage,5,0,0,1,13,66670
1361,Non Prevailing Wage,2,0,0,0,2,66670
1362,Non Prevailing Wage,0,0,0,1,2,66670
1363,Non Prevailing Wage,1,0,0,0,7,66670
1364,Non Prevailing Wage,4,0,0,0,4,66670
1365,Non Prevailing Wage,1,0,0,0,2,66670
1366,Non Prevailing Wage,2,0,0,0,2,66670
1367,Non Prevailing Wage,3,0,0,0,9,66670
1368,Non Prevailing Wage,1,0,0,1,4,66670
1369,Non Prevailing Wage,2,0,0,1,9,66670
1370,Non Prevailing Wage,3,0,0,0,8,66670
1371,Non Prevailing Wage,2,0,0,1,5,66670
1372,Non Prevailing Wage,1,0,0,0,6,66670
1373,Non Prevailing Wage,5,0,0,0,3,66670
1374,Non Prevailing Wage,0,0,0,0,3,66670
1375,Non Prevailing Wage,0,0,0,3,3,66670
1376,Non Prevailing Wage,1,0,0,3,2,66670
1377,Non Prevailing Wage,3,0,0,0,0,66670
1378,Non Prevailing Wage,1,0,0,0,2,66670
1379,Non Prevailing Wage,0,0,0,1,2,66670
1380,Non Prevailing Wage,0,0,0,0,3,66670
1381,Non Prevailing Wage,1,0,0,1,5,66670
1382,Non Prevailing Wage,0,0,0,1,2,66670
1383,Non Prevailing Wage,1,0,0,1,4,66670
1384,Non Prevailing Wage,1,0,0,1,4,66670
1385,Non Prevailing Wage,1,0,0,1,1,66670
1386,Non Prevailing Wage,1,0,0,3,2,66670
1387,Non Prevailing Wage,1,0,0,3,4,66670
1388,Non Prevailing Wage,1,0,0,0,4,66670
1389,Non Prevailing Wage,0,0,0,3,0,66670
1390,Non Prevailing Wage,1,0,0,0,5,66670
1391,Non Prevailing Wage,1,0,0,0,2,66670
1392,Non Prevailing Wage,2,0,0,1,2,66670
1393,Non Prevailing Wage,2,0,1,0,5,66670
1394,Non Prevailing Wage,1,0,0,1,2,66670
1395,Non Prevailing Wage,1,0,0,1,2,66670
1396,Non Prevailing Wage,0,0,0,3,3,66670
1397,Non Prevailing Wage,2,0,0,9,10,67459
1398,Non Prevailing Wage,1,0,0,9,10,67459
1399,Non Prevailing Wage,69,0,0,105,0,67523
1400,Non Prevailing Wage,123,0,6,0,68,67636
1401,Non Prevailing Wage,0,3,0,0,0,68657
1402,Non Prevailing Wage,0,2,0,0,0,68658
1403,Non Prevailing Wage,0,3,0,0,0,68658
1404,Non Prevailing Wage,0,2,0,0,0,68658
1405,Non Prevailing Wage,0,0,2,0,0,68711
1406,Non Prevailing Wage,37,0,90,19,37,63777
1407,Non Prevailing Wage,28,0,72,14,29,63777
1408,Non Prevailing Wage,23,0,58,11,23,63777
1409,Non Prevailing Wage,17,0,0,8,4,67154
1410,Non Prevailing Wage,87,0,14,0,0,67805
1411,Non Prevailing Wage,0,0,1,0,0,68698
1412,Non Prevailing Wage,0,0,0,0,1,68700
1413,Non Prevailing Wage,0,0,2,0,0,68709
1414,Non Prevailing Wage,76,0,0,67,34,61678
1415,Non Prevailing Wage,81,0,0,0,81,68211
1416,Non Prevailing Wage,291,0,88,0,20,68347
1417,Non Prevailing Wage,0,10,0,0,0,68649
1418,Non Prevailing Wage,0,3,0,0,0,68650
1419,Non Prevailing Wage,1,0,0,0,0,68694
1420,Non Prevailing Wage,1,0,0,0,0,68703
1421,Non Prevailing Wage,0,0,1,0,0,68718
1422,Non Prevailing Wage,10,0,5,0,0,54577
1423,Prevailing Wage,0,0,0,151,0,65320
1424,Non Prevailing Wage,1,0,0,2,3,67458
1425,Non Prevailing Wage,2,0,0,4,6,67458
1426,Non Prevailing Wage,0,0,0,1,107,59104
1427,Non Prevailing Wage,0,0,0,37,24,60824
1428,Non Prevailing Wage,0,0,0,0,2,66565
1429,Non Prevailing Wage,2,0,0,1,5,66565
1430,Non Prevailing Wage,3,0,0,0,3,66565
1431,Non Prevailing Wage,3,0,1,0,2,66565
1432,Non Prevailing Wage,6,0,0,0,0,66565
1433,Non Prevailing Wage,1,0,0,1,4,66565
1434,Non Prevailing Wage,5,0,1,1,3,66565
1435,Non Prevailing Wage,0,0,2,0,0,68641
1436,Non Prevailing Wage,1,0,0,0,0,68714
1437,Non Prevailing Wage,11,0,0,0,11,61641
1438,Non Prevailing Wage,12,0,0,1,10,61641
1439,Non Prevailing Wage,4,0,0,1,11,61641
1440,Non Prevailing Wage,2,0,0,3,9,61641
1441,Non Prevailing Wage,1,0,0,4,8,61641
1442,Non Prevailing Wage,1,0,0,3,10,61641
1443,Non Prevailing Wage,1,0,0,6,5,61641
1444,Non Prevailing Wage,8,0,0,0,5,61641
1445,Non Prevailing Wage,2,0,0,2,12,61641
1446,Non Prevailing Wage,0,0,0,25,4,67462
1447,Non Prevailing Wage,2,0,1,0,0,67483
1448,Non Prevailing Wage,2,0,0,0,0,67483
1449,Non Prevailing Wage,8,0,0,0,0,67483
1450,Non Prevailing Wage,8,0,0,0,0,67483
1451,Non Prevailing Wage,7,0,1,0,0,67483
1452,Non Prevailing Wage,3,0,0,0,0,67483
1453,Non Prevailing Wage,3,0,0,0,0,67483
1454,Non Prevailing Wage,3,0,0,0,0,67483
1455,Non Prevailing Wage,10,0,0,0,0,67483
1456,Non Prevailing Wage,3,0,0,0,0,67483
1457,Non Prevailing Wage,3,0,0,0,0,67483
1458,Non Prevailing Wage,3,0,0,0,0,67483
1459,Non Prevailing Wage,3,0,0,0,0,67483
1460,Non Prevailing Wage,7,0,1,0,0,67483
1461,Non Prevailing Wage,7,0,1,0,0,67483
1462,Non Prevailing Wage,7,0,1,0,0,67483
1463,Non Prevailing Wage,3,0,0,0,0,67483
1464,Non Prevailing Wage,1,0,2,0,0,67483
1465,Non Prevailing Wage,3,0,0,0,0,67483
1466,Non Prevailing Wage,3,0,0,0,0,67483
1467,Non Prevailing Wage,7,0,1,0,0,67483
1468,Non Prevailing Wage,3,0,0,0,0,67483
1469,Non Prevailing Wage,2,0,1,0,0,67483
1470,Non Prevailing Wage,3,0,0,0,0,67483
1471,Non Prevailing Wage,3,0,0,0,0,67483
1472,Non Prevailing Wage,2,0,1,0,0,67483
1473,Non Prevailing Wage,2,0,1,0,0,67483
1474,Non Prevailing Wage,3,0,0,0,0,67483
1475,Non Prevailing Wage,3,0,0,0,0,67483
1476,Non Prevailing Wage,2,0,1,0,0,67483
1477,Non Prevailing Wage,2,0,1,0,0,67483
1478,Non Prevailing Wage,3,0,0,0,0,67483
1479,Non Prevailing Wage,3,0,0,0,0,67483
1480,Non Prevailing Wage,3,0,0,0,0,67483
1481,Non Prevailing Wage,3,0,0,0,0,67483
1482,Non Prevailing Wage,1,0,1,0,0,67483
1483,Non Prevailing Wage,2,0,0,0,0,67483
1484,Non Prevailing Wage,3,0,0,0,0,67483
1485,Non Prevailing Wage,2,0,0,0,0,67483
1486,Non Prevailing Wage,1,0,1,0,0,67483
1487,Non Prevailing Wage,0,0,2,0,0,67484
1488,Non Prevailing Wage,1,0,2,0,0,67484
1489,Non Prevailing Wage,2,0,1,0,0,67484
1490,Non Prevailing Wage,2,0,1,0,0,67484
1491,Non Prevailing Wage,2,0,1,0,0,67484
1492,Non Prevailing Wage,3,0,0,0,0,67484
1493,Non Prevailing Wage,3,0,0,0,0,67484
1494,Non Prevailing Wage,3,0,0,0,0,67484
1495,Non Prevailing Wage,3,0,0,0,0,67484
1496,Non Prevailing Wage,8,0,0,0,0,67484
1497,Non Prevailing Wage,3,0,0,0,0,67484
1498,Non Prevailing Wage,3,0,0,0,0,67484
1499,Non Prevailing Wage,3,0,0,0,0,67484
1500,Non Prevailing Wage,1,0,2,0,0,67484
1501,Non Prevailing Wage,8,0,0,0,0,67484
1502,Non Prevailing Wage,3,0,0,0,0,67484
1503,Non Prevailing Wage,8,0,0,0,0,67484
1504,Non Prevailing Wage,8,0,0,0,0,67484
1505,Non Prevailing Wage,7,0,1,0,0,67484
1506,Non Prevailing Wage,3,0,0,0,0,67484
1507,Non Prevailing Wage,3,0,0,0,0,67484
1508,Non Prevailing Wage,2,0,1,0,0,67484
1509,Non Prevailing Wage,3,0,0,0,0,67484
1510,Non Prevailing Wage,3,0,0,0,0,67484
1511,Non Prevailing Wage,2,0,1,0,0,67484
1512,Non Prevailing Wage,3,0,0,0,0,67484
1513,Non Prevailing Wage,3,0,0,0,0,67484
1514,Non Prevailing Wage,3,0,0,0,0,67484
1515,Non Prevailing Wage,2,0,1,0,0,67484
1516,Non Prevailing Wage,3,0,0,0,0,67484
1517,Non Prevailing Wage,3,0,0,0,0,67487
1518,Non Prevailing Wage,2,0,1,0,0,67487
1519,Non Prevailing Wage,9,0,0,0,0,67487
1520,Non Prevailing Wage,8,0,1,0,0,67487
1521,Non Prevailing Wage,9,0,0,0,0,67487
1522,Non Prevailing Wage,9,0,0,0,0,67487
1523,Non Prevailing Wage,3,0,0,0,0,67487
1524,Non Prevailing Wage,2,0,1,0,0,67487
1525,Non Prevailing Wage,3,0,0,0,0,67487
1526,Non Prevailing Wage,3,0,0,0,0,67487
1527,Non Prevailing Wage,10,0,0,0,0,67487
1528,Non Prevailing Wage,10,0,0,0,0,67487
1529,Non Prevailing Wage,8,0,0,0,0,67487
1530,Non Prevailing Wage,8,0,0,0,0,67487
1531,Non Prevailing Wage,3,0,0,0,0,67618
1532,Non Prevailing Wage,2,0,0,0,0,67618
1533,Non Prevailing Wage,3,0,0,0,0,67618
1534,Non Prevailing Wage,3,0,0,0,0,67618
1535,Non Prevailing Wage,3,0,0,0,0,67618
1536,Non Prevailing Wage,3,0,0,0,0,67618
1537,Non Prevailing Wage,8,0,0,0,0,67618
1538,Non Prevailing Wage,7,0,1,0,0,67618
1539,Non Prevailing Wage,2,0,0,0,0,67618
1540,Non Prevailing Wage,2,0,0,0,0,67618
1541,Non Prevailing Wage,3,0,0,0,0,67618
1542,Non Prevailing Wage,3,0,0,0,0,67618
1543,Non Prevailing Wage,1,0,0,0,0,68651
1544,Non Prevailing Wage,1,0,0,0,0,68696
1545,Non Prevailing Wage,0,0,0,0,10,67752
1546,Non Prevailing Wage,0,0,0,0,15,67752
1547,Non Prevailing Wage,0,0,0,0,16,67752
1548,Non Prevailing Wage,0,8,0,0,0,68640
1549,Non Prevailing Wage,1,0,0,0,0,68654
1550,Non Prevailing Wage,0,0,1,0,0,68679
1551,Non Prevailing Wage,0,0,1,0,0,68715
1552,Non Prevailing Wage,2,0,0,0,0,68717
1553,Non Prevailing Wage,0,6,0,0,0,68638
1554,Non Prevailing Wage,0,3,0,0,0,68639
1555,Non Prevailing Wage,4,0,0,0,43,65275
1556,Non Prevailing Wage,0,3,0,0,0,68635
1557,Non Prevailing Wage,0,3,0,0,0,68637
1558,Non Prevailing Wage,1,0,0,0,0,68653
1559,Non Prevailing Wage,94,0,46,0,94,67685
1560,Non Prevailing Wage,2,0,0,0,0,68633
1561,Non Prevailing Wage,0,6,0,0,0,68634
1562,Non Prevailing Wage,0,0,0,0,1,68688
1563,Non Prevailing Wage,2,0,0,0,0,68719
1564,Non Prevailing Wage,0,0,0,4,2,63252
1565,Non Prevailing Wage,8,5,7,0,3,68107
1566,Non Prevailing Wage,2,3,9,0,2,68107
1567,Non Prevailing Wage,0,0,6,0,3,68107
1568,Non Prevailing Wage,1,2,1,0,5,68107
1569,Non Prevailing Wage,1,3,4,0,2,68107
1570,Non Prevailing Wage,2,1,3,0,3,68107
1571,Non Prevailing Wage,0,1,3,0,4,68107
1572,Non Prevailing Wage,4,1,4,0,0,68107
1573,Non Prevailing Wage,0,2,3,0,4,68107
1574,Non Prevailing Wage,0,2,1,0,5,68107
1575,Non Prevailing Wage,1,3,5,0,1,68107
1576,Non Prevailing Wage,1,0,8,0,1,68107
1577,Non Prevailing Wage,2,3,8,0,3,68107
1578,Non Prevailing Wage,0,2,5,2,1,68107
1579,Non Prevailing Wage,0,11,6,5,0,68107
1580,Non Prevailing Wage,5,0,7,0,9,68107
1581,Non Prevailing Wage,3,2,13,0,4,68107
1582,Non Prevailing Wage,22,4,8,2,12,68269
1583,Non Prevailing Wage,32,5,7,1,10,68269
1584,Non Prevailing Wage,19,0,4,1,19,68269
1585,Non Prevailing Wage,17,3,4,3,11,68269
1586,Non Prevailing Wage,17,4,13,4,16,68269
1587,Non Prevailing Wage,10,1,8,2,17,68269
1588,Non Prevailing Wage,12,1,5,1,19,68269
1589,Non Prevailing Wage,9,1,4,11,26,68269
1590,Non Prevailing Wage,19,2,23,1,3,68269
1591,Non Prevailing Wage,0,3,0,0,0,68631
1592,Non Prevailing Wage,0,10,0,0,0,68632
1593,Non Prevailing Wage,0,0,2,0,0,68685
1594,Non Prevailing Wage,24,0,0,3,10,67399
1595,Non Prevailing Wage,31,0,0,2,11,67464
1596,Non Prevailing Wage,26,0,0,0,4,67606
1597,Non Prevailing Wage,23,0,0,0,7,67606
1598,Non Prevailing Wage,55,0,0,0,10,67607
1599,Non Prevailing Wage,0,3,0,0,0,68630
1600,Non Prevailing Wage,1,0,0,0,0,68652
1601,Non Prevailing Wage,1,0,0,0,0,68674
1602,Non Prevailing Wage,0,3,0,0,0,68628
1603,Non Prevailing Wage,0,9,0,0,0,68629
1604,Non Prevailing Wage,1,0,0,0,0,68667
1605,Non Prevailing Wage,1,0,0,0,0,68686
1606,Non Prevailing Wage,1,0,0,0,0,68708
1607,Non Prevailing Wage,0,3,0,0,0,68625
1608,Non Prevailing Wage,0,3,0,0,0,68626
1609,Non Prevailing Wage,0,0,3,0,0,68669
1610,Non Prevailing Wage,0,6,0,0,0,68624
1611,Non Prevailing Wage,0,0,1,0,0,68681
1612,Non Prevailing Wage,2,0,0,0,0,68712
1613,Non Prevailing Wage,42,65,0,0,0,67829
1614,Non Prevailing Wage,0,2,0,0,0,68622
1615,Non Prevailing Wage,0,3,0,0,0,68623
1616,Non Prevailing Wage,0,32,0,0,0,68620
1617,Non Prevailing Wage,0,3,0,0,0,68621
1618,Non Prevailing Wage,0,0,1,0,0,68683
1619,Non Prevailing Wage,2,0,0,0,0,68710
1620,Non Prevailing Wage,0,3,0,0,0,68618
1621,Non Prevailing Wage,0,3,0,0,0,68619
1622,Non Prevailing Wage,4,0,0,0,0,68253
1623,Non Prevailing Wage,0,3,0,0,0,68616
1624,Non Prevailing Wage,0,0,2,0,0,68617
1625,Non Prevailing Wage,0,0,2,0,0,68716
1626,Non Prevailing Wage,9,0,0,0,0,67791
1627,Non Prevailing Wage,0,7,0,0,0,68615
1628,Non Prevailing Wage,1,0,0,0,0,68672
1629,Non Prevailing Wage,0,0,0,1,0,68675
1630,Non Prevailing Wage,1,0,0,0,0,68536
1631,Non Prevailing Wage,6,0,0,0,0,66766
1632,Non Prevailing Wage,88,0,1,0,0,68073
1633,Non Prevailing Wage,1,0,0,0,0,68534
1634,Non Prevailing Wage,0,0,2,0,0,68677
1635,Non Prevailing Wage,0,0,2,0,0,68666
1636,Non Prevailing Wage,0,3,0,0,0,68614
1637,Non Prevailing Wage,1,0,0,0,0,68537
1638,Non Prevailing Wage,37,0,7,5,42,65280
1639,Non Prevailing Wage,3,0,0,0,0,68255
1640,Non Prevailing Wage,1,0,0,0,0,68538
1641,Non Prevailing Wage,0,2,0,0,0,68612
1642,Non Prevailing Wage,0,3,0,0,0,68613
1643,Non Prevailing Wage,0,11,0,0,0,68610
1644,Non Prevailing Wage,0,3,0,0,0,68611
1645,Non Prevailing Wage,11,0,0,0,7,68585
1646,Non Prevailing Wage,12,0,0,0,6,68585
1647,Non Prevailing Wage,14,0,0,0,4,68585
1648,Non Prevailing Wage,19,0,0,0,5,68585
1649,Non Prevailing Wage,18,0,0,0,4,68585
1650,Non Prevailing Wage,20,0,0,0,2,68585
1651,Non Prevailing Wage,18,0,0,1,3,68585
1652,Non Prevailing Wage,17,0,0,0,1,68585
1653,Non Prevailing Wage,17,0,0,0,1,68585
1654,Non Prevailing Wage,16,0,0,0,2,68585
1655,Non Prevailing Wage,0,0,3,0,0,68256
1656,Non Prevailing Wage,1,0,0,0,0,68528
1657,Non Prevailing Wage,0,3,0,0,0,68608
1658,Non Prevailing Wage,0,3,0,0,0,68609
1659,Non Prevailing Wage,104,0,0,16,310,65215
1660,Non Prevailing Wage,0,3,0,0,0,68606
1661,Non Prevailing Wage,6,0,0,0,0,68607
1662,Non Prevailing Wage,1,0,0,0,0,68531
1663,Non Prevailing Wage,1,0,0,0,0,68535
1664,Non Prevailing Wage,0,6,0,0,0,68605
1665,Non Prevailing Wage,0,5,0,0,0,68604
1666,Non Prevailing Wage,0,7,0,0,0,68602
1667,Non Prevailing Wage,0,12,0,0,0,68603
1668,Non Prevailing Wage,45,0,0,1,5,67446
1669,Non Prevailing Wage,34,0,0,2,12,67448
1670,Non Prevailing Wage,22,0,0,1,10,67449
1671,Non Prevailing Wage,48,0,0,1,14,67450
1672,Non Prevailing Wage,26,0,0,0,11,67451
1673,Non Prevailing Wage,47,0,0,1,11,67571
1674,Non Prevailing Wage,8,0,0,0,5,67573
1675,Non Prevailing Wage,15,0,0,0,15,67605
1676,Non Prevailing Wage,4,0,0,135,196,65277
1677,Non Prevailing Wage,27,0,44,0,18,65212
1678,Non Prevailing Wage,1,0,0,0,0,68527
1679,Non Prevailing Wage,0,0,0,1,0,68523
1680,Non Prevailing Wage,0,5,0,0,0,68600
1681,Non Prevailing Wage,0,3,0,0,0,68601
1682,Non Prevailing Wage,0,2,0,0,0,68601
1683,Non Prevailing Wage,5,0,1,47,7,67437
1684,Non Prevailing Wage,1,0,0,0,0,68456
1685,Non Prevailing Wage,0,3,0,0,0,68598
1686,Non Prevailing Wage,0,4,0,0,0,68599
1687,Non Prevailing Wage,111,0,0,0,0,67134
1688,Non Prevailing Wage,0,3,0,0,0,68596
1689,Non Prevailing Wage,0,3,0,0,0,68597
1690,Non Prevailing Wage,87,0,42,22,66,66858
1691,Non Prevailing Wage,1,0,0,0,0,68460
1692,Non Prevailing Wage,0,3,0,0,0,68595
1693,Non Prevailing Wage,112,0,37,50,49,65298
1694,Non Prevailing Wage,2,0,0,0,0,66264
1695,Non Prevailing Wage,0,18,0,0,0,68594
1696,Non Prevailing Wage,1,0,0,0,0,68459
1697,Non Prevailing Wage,8,0,0,0,0,53680
1698,Non Prevailing Wage,3,0,0,2,3,53680
1699,Non Prevailing Wage,4,0,0,1,3,53680
1700,Non Prevailing Wage,5,0,0,2,1,53680
1701,Non Prevailing Wage,2,0,0,2,3,53680
1702,Non Prevailing Wage,8,0,0,0,0,53680
1703,Non Prevailing Wage,4,0,0,2,2,53680
1704,Non Prevailing Wage,8,0,0,0,0,53680
1705,Non Prevailing Wage,3,0,0,2,3,53680
1706,Non Prevailing Wage,5,0,0,2,1,53680
1707,Non Prevailing Wage,3,0,0,3,2,53680
1708,Non Prevailing Wage,8,0,0,0,0,53680
1709,Non Prevailing Wage,8,0,0,0,0,53680
1710,Non Prevailing Wage,4,0,0,2,2,53680
1711,Non Prevailing Wage,8,0,0,0,0,53680
1712,Non Prevailing Wage,3,0,0,2,3,53680
1713,Non Prevailing Wage,8,0,0,0,0,53680
1714,Non Prevailing Wage,3,0,0,2,3,53680
1715,Non Prevailing Wage,3,0,0,2,3,53680
1716,Non Prevailing Wage,8,0,0,0,0,53680
1717,Non Prevailing Wage,0,0,0,60,19,53680
1718,Non Prevailing Wage,1,0,0,0,0,67103
1719,Non Prevailing Wage,0,3,0,0,0,68593
1720,Non Prevailing Wage,0,6,0,0,0,68592
1721,Non Prevailing Wage,3,0,0,0,0,68591
1722,Non Prevailing Wage,1,0,0,0,0,68455
1723,Non Prevailing Wage,0,3,0,0,0,68590
1724,Non Prevailing Wage,2,0,0,0,0,68588
1725,Non Prevailing Wage,0,3,0,0,0,68589
1726,Non Prevailing Wage,0,0,0,6,41,66669
1727,Non Prevailing Wage,0,9,0,0,0,68586
1728,Non Prevailing Wage,1,0,0,0,0,68457
1729,Non Prevailing Wage,15,0,11,1,1,66573
1730,Non Prevailing Wage,10,0,11,0,3,66573
1731,Non Prevailing Wage,0,3,0,0,0,68584
